Product_id,Shape,Weight,Clarity,Colour,Cut,Polish,Symmetry,Fluorescence,Messurements,Price,Product_url
 2122405, CUSHION, 0.5, VS2, G, GD, EX, EX, GD, N,"$1,238.97",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-446/
 2126598, CUSHION, 0.51, VS1, I, EX, EX, EX, VG, F,"$1,239.11",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-252/
 2105004, CUSHION, 0.52, SI2, F, EX, EX, EX, GD, F,"$1,239.29",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-78/
 2057991, CUSHION, 0.5, SI1, F, EX, EX, EX, VG, N,"$1,239.65",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-338/
 2106407, CUSHION, 0.59, VS1, I, EX, EX, EX, VG, F,"$1,239.65",https://capitalwholesalediamonds.com/product/0-59-ct-cushion-18/
 2083817, CUSHION, 0.5, SI1, G, EX, EX, EX, VG, N,"$1,239.78",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-56/
 2093327, CUSHION, 0.5, VS1, I, EX, EX, EX, VG, F,"$1,240.46",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-374/
 2080492, CUSHION, 0.51, VS1, H, EX, EX, EX, EX, ST,"$1,240.87",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-42/
 2129792, CUSHION, 0.52, SI1, H, EX, EX, EX, VG, N,"$1,241.11",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-102/
 2138238, CUSHION, 0.54, SI2, G, EX, EX, EX, VG, N,"$1,241.16",https://capitalwholesalediamonds.com/product/0-54-ct-cushion-13/
 2110101, CUSHION, 0.51, SI1, D, EX, EX, EX, VG, N,"$1,241.76",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-248/
 2082583, CUSHION, 0.51, SI1, G, EX, EX, EX, VG, N,"$1,242.61",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-62/
 2088053, CUSHION, 0.52, SI1, F, EX, EX, EX, VG, N,"$1,242.67",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-27/
 2123366, CUSHION, 0.5, VS1, I, VG, EX, EX, VG, N,"$1,243.00",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-316/
 2132889, CUSHION, 0.5, VS1, I, EX, EX, EX, VG, F,"$1,243.00",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-476/
 2126597, CUSHION, 0.51, VS1, I, EX, EX, EX, VG, F,"$1,243.26",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-142/
 2122417, CUSHION, 0.5, SI1, E, VG, EX, EX, GD, N,"$1,243.84",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-453/
 2069017, CUSHION, 0.62, VS2, FANCY, EX, EX, EX, VG, M,"$1,243.84",https://capitalwholesalediamonds.com/product/0-62-ct-cushion/
 2078463, CUSHION, 0.7, VS2, L, VG, VG, VG, VG, N,"$1,244.12",https://capitalwholesalediamonds.com/product/0-7-ct-cushion-517/
 2114535, CUSHION, 0.51, SI1, D, EX, EX, EX, VG, F,"$1,244.21",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-217/
 2134293, CUSHION, 0.52, IF, J, EX, EX, EX, VG, F,"$1,244.47",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-108/
 2062829, CUSHION, 0.5, VS2, H, VG, VG, VG, GD, N,"$1,244.70",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-209/
 2090491, CUSHION, 0.5, SI1, G, EX, EX, EX, VG, N,"$1,244.84",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-246/
 2082577, CUSHION, 0.5, VS2, I, EX, EX, EX, VG, F,"$1,245.53",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-343/
 2094487, CUSHION, 0.51, VS2, I, EX, EX, EX, EX, N,"$1,245.90",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-199/
 2120149, CUSHION, 0.51, VS2, H, EX, EX, EX, VG, F,"$1,245.94",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-136/
 2098675, CUSHION, 0.52, SI1, F, EX, EX, EX, VG, F,"$1,246.12",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-38/
 2031678, CUSHION, 0.5, VS2, H, EX, EX, EX, VG, F,"$1,246.46",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-322/
 2105000, CUSHION, 0.5, SI1, H, EX, EX, EX, VG, N,"$1,246.49",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-127/
 2092338, CUSHION, 0.5, SI1, F, EX, EX, EX, VG, N,"$1,246.54",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-255/
 2130918, CUSHION, 0.52, VS1, I, EX, EX, EX, VG, M,"$1,246.90",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-116/
 2132873, CUSHION, 0.51, VVS2, I, EX, EX, EX, VG, N,"$1,248.31",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-287/
 1973429, CUSHION, 0.55, SI1, D, EX, EX, EX, VG, N,"$1,249.24",https://capitalwholesalediamonds.com/product/0-55-ct-cushion-2/
 2083811, CUSHION, 0.72, VS2, L, EX, EX, EX, EX, M,"$1,249.32",https://capitalwholesalediamonds.com/product/0-72-ct-cushion-42/
 2119278, CUSHION, 0.52, VS2, I, EX, EX, EX, VG, N,"$1,249.56",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-97/
 2132910, CUSHION, 0.5, VS2, I, EX, EX, EX, VG, N,"$1,249.79",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-549/
 2116895, CUSHION, 0.5, SI1, H, EX, EX, EX, VG, N,"$1,251.51",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-184/
 2082585, CUSHION, 0.52, SI1, H, EX, EX, EX, EX, F,"$1,252.83",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-31/
 2054067, CUSHION, 0.52, VS1, G, EX, EX, EX, VG, ST,"$1,253.01",https://capitalwholesalediamonds.com/product/0-52-ct-cushion-69/
 2093347, CUSHION, 0.5, SI1, H, EX, EX, EX, VG, N,"$1,253.19",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-261/
 2063878, CUSHION, 0.6, VS2, FANCY, VG, VG, VG, GD, N,"$1,253.20",https://capitalwholesalediamonds.com/product/0-6-ct-cushion-2/
 2028912, CUSHION, 0.81, VS2, K, EX, EX, EX, VG, ST,"$1,253.20",https://capitalwholesalediamonds.com/product/0-81-ct-cushion-6/
 2137015, CUSHION, 0.5, SI1, G, EX, EX, EX, VG, N,"$1,253.20",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-491/
 2137013, CUSHION, 0.5, SI1, F, EX, EX, EX, VG, N,"$1,253.24",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-533/
 2060702, CUSHION, 0.51, SI1, D, EX, EX, EX, VG, N,"$1,254.06",https://capitalwholesalediamonds.com/product/0-51-ct-cushion-176/
 2014906, CUSHION, 0.5, VS1, E, EX, EX, EX, VG, M,"$1,254.12",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-191/
 2089753, CUSHION, 0.5, SI1, H, EX, EX, EX, VG, N,"$1,254.86",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-383/
 2122403, CUSHION, 0.5, VS2, E, EX, VG, VG, GD, ST,"$1,254.91",https://capitalwholesalediamonds.com/product/0-5-ct-cushion-426/
